b'Date,Open,High,Low,Close,Volume,Adj Close
2016-10-26,2136.969971,2145.72998,2131.590088,2139.429932,3775200000,2139.429932
2016-10-25,2149.719971,2151.439941,2141.929932,2143.159912,3751340000,2143.159912
2016-10-24,2148.50,2154.790039,2146.909912,2151.330078,3357320000,2151.330078
2016-10-21,2139.429932,2142.629883,2130.090088,2141.159912,3448850000,2141.159912
2016-10-20,2142.51001,2147.179932,2133.439941,2141.340088,3337170000,2141.340088
2016-10-19,2140.810059,2148.439941,2138.149902,2144.290039,3362670000,2144.290039
2016-10-18,2138.310059,2144.379883,2135.48999,2139.600098,3170000000,2139.600098
2016-10-17,2132.949951,2135.610107,2124.429932,2126.50,2830390000,2126.50
2016-10-14,2139.679932,2149.189941,2132.97998,2132.97998,3228150000,2132.97998
2016-10-13,2130.26001,2138.189941,2114.719971,2132.550049,3580450000,2132.550049
2016-10-12,2137.669922,2145.360107,2132.77002,2139.179932,2977100000,2139.179932
2016-10-11,2161.350098,2161.560059,2128.840088,2136.72998,3438270000,2136.72998
2016-10-10,2160.389893,2169.600098,2160.389893,2163.659912,2916550000,2163.659912
2016-10-07,2164.189941,2165.860107,2144.850098,2153.73999,3619890000,2153.73999
2016-10-06,2158.219971,2162.929932,2150.280029,2160.77002,3461550000,2160.77002
2016-10-05,2155.149902,2163.949951,2155.149902,2159.72998,3906550000,2159.72998
2016-10-04,2163.370117,2165.459961,2144.01001,2150.48999,3750890000,2150.48999
2016-10-03,2164.330078,2164.409912,2154.77002,2161.199951,3137550000,2161.199951
2016-09-30,2156.51001,2175.300049,2156.51001,2168.27002,4173340000,2168.27002
2016-09-29,2168.899902,2172.669922,2145.199951,2151.129883,4249220000,2151.129883
2016-09-28,2161.850098,2172.399902,2151.790039,2171.370117,3891460000,2171.370117
2016-09-27,2146.040039,2161.129883,2141.550049,2159.929932,3437770000,2159.929932
'
